Species_ayerbe,Species_bl,Total.individuals,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Forest_bin,Migration_avo,Migration_bb,Primary_diet,Diet_breadth,Habitat_breadth,Ecological_specialization,Clutch_min,Clutch_max,Clutch_mean,Gen_length,Elev_range,Iucn_red_list
Premnoplex brunnescens,Premnoplex brunnescens,62,17.1,10.1,3.4,3.7,20.1,60,8.3,50.9,14,61.1,16.3,Forest,Dense,Carnivore,Invertivore,Insessorial,-17.84,11.1,-2.85,-74.22,406258.31,Forest,Sedentary,Sedentary,Invertebrate,1,1,2,2,2,2,2.677710788,2550,LC
Piranga flava,Piranga hepatica,23,19.8,13.2,8.2,9.2,21,95.4,22.5,74.5,23.1,80,32.3,Forest,Semi_open,Carnivore,Invertivore,Insessorial,-18.71,38.99,14.99,-89.81,2230687.49,Forest,Partial,Migratory,Invertebrate,2,5,1,3,5,4,2.250777359,1900,LC
Pseudotriccus pelzelni,Pseudotriccus pelzelni,4,11.5,6.4,3.9,3.2,19.3,53.8,9,44.8,16.6,43.2,10.9,Forest,Dense,Carnivore,Invertivore,Insessorial,-12.79,8.26,-1.48,-76.83,148376.2,Forest,Sedentary,Sedentary,Invertebrate,1,1,2,NA,NA,NA,2.404015273,2400,LC
Cranioleuca erythrops,Cranioleuca erythrops,20,14.6,9.5,3.2,3.7,18.6,64.8,11,55.2,16.6,71.4,16.9,Forest,Dense,Carnivore,Invertivore,Insessorial,-2.92,11.01,4.76,-78.7,76469.87,Forest,Sedentary,Sedentary,Invertebrate,1,2,1.6989700043360187,NA,NA,NA,2.683049889,2350,LC
Pachyramphus versicolor,Pachyramphus versicolor,21,12.6,7.4,5.2,4.4,16.2,64.6,13.5,52.1,20.6,51.7,15.5,Forest,Dense,Carnivore,Invertivore,Insessorial,-17.89,10.92,-1.66,-75.57,302157.64,Forest,Sedentary,Sedentary,Invertebrate,2,2,1.3979400086720375,2,3,2.5,2.592601872,2300,LC
Catharus fuscater,Catharus fuscater,11,17.7,9.7,3.6,4.5,33.3,88.4,14.4,71.2,16.9,78.9,33.7,Forest,Dense,Omnivore,Invertivore,Generalist,-18.07,11.1,-4.03,-74.19,313318.36,Forest,Sedentary,Sedentary,Invertebrate,2,2,1.3979400086720375,1,2,1.5,2.864588003,3050,LC
Hafferia immaculata,Hafferia immaculata,6,22.6,12.9,5.2,6.2,33.6,80.8,5.1,73.6,6.3,80.5,47.1,Forest,Dense,Carnivore,Invertivore,Insessorial,3.41,10.81,7.24,-73.14,103061.8,Forest,Sedentary,Sedentary,Invertebrate,2,2,1.3979400086720375,NA,NA,NA,2.534393376,1800,LC
Butorides striata,Butorides striata,31,69.2,51.8,9.1,11.2,49.7,175.9,53.2,125.5,29.8,63.6,201.5,Wetland,Open,Carnivore,Aquatic predator,Terrestrial,-41.16,54.29,7.56,7.37,53556698.29,Non-forest,Sedentary,Irregular,Carnivore,3,4,0.9208187539523752,3,5,4,4.210398689,3100,LC
Chondrohierax uncinatus,Chondrohierax uncinatus,7,36.2,27,12.4,18.4,33.6,285.3,59.8,224.2,21,197.6,286.07,Forest,Semi_open,Carnivore,Invertivore,Insessorial,-27.24,26.3,-2.71,-64.2,9787616.08,Forest,Partial,Migratory,Invertebrate,1,5,1.3010299956639813,1,2,1.5,5.812065414,3100,LC
Ortalis guttata,Ortalis guttata,18,28.2,11.6,6.3,9.1,53.6,192.3,29.3,165.6,15,214.5,547.72,Shrubland,Dense,Herbivore,Frugivore,Insessorial,-22.23,6.12,-7.43,-65.86,4434552.3,Non-forest,Sedentary,Sedentary,Herbivore,2,5,1,3,4,3.5,4.346695639,1900,LC
Colinus cristatus,Colinus cristatus,13,14.7,8.7,6.1,7.6,28.5,99.8,26.1,72.4,26.6,57.3,134.45,Forest,Semi_open,Herbivore,Omnivore,Terrestrial,-0.16,12.63,6.24,-67.92,1865470.32,Forest,Sedentary,Irregular,Seed,3,4,0.9208187539523752,8,15,11.5,1.532298122,3500,LC
Aramides cajaneus,Aramides cajaneus,7,51.3,27.9,5.3,11.1,63,178.7,20.8,157.9,11.6,62.8,397,Forest,Dense,Carnivore,Aquatic predator,Terrestrial,-35.25,12.46,-9.4,-57.58,13038120.14,Forest,Sedentary,Irregular,Invertebrate,4,6,0.619788758288394,3,7,5,4.388579239,2100,LC
Patagioenas plumbea,Patagioenas plumbea,13,23.1,12.9,4.3,5.1,23.1,177.8,61.9,115.7,34.9,141.6,178.77,Forest,Dense,Herbivore,Frugivore,Insessorial,-32.21,10.29,-7.14,-61.29,6564806.47,Forest,Sedentary,Altitudinal,Fruit,2,2,1.3979400086720375,NA,1,1,3.425850305,2200,LC
Patagioenas subvinacea,Patagioenas subvinacea,8,18.8,9.8,3.8,4.1,20.8,156.3,53.6,102.7,34.3,114.4,162.48,Forest,Semi_open,Herbivore,Frugivore,Insessorial,-18.3,11.06,-2.21,-64.55,6899058.97,Forest,Sedentary,Altitudinal,Fruit,1,3,1.5228787452803376,1,1,1,3.376605075,3100,LC
Psittacara wagleri,Psittacara wagleri,9,26.1,27.3,16.5,32.5,17.7,184.8,79,99.5,44.2,138.7,194,Forest,Dense,Herbivore,Frugivore,Insessorial,0.92,11.27,5.47,-74.31,202635.32,Forest,Sedentary,Irregular,Herbivore,2,5,1,NA,NA,NA,5.230746893,2450,NT
Amazona autumnalis,Amazona autumnalis,7,39.1,30.1,16.4,29.6,22.1,201.7,62.6,139,31,117.4,416,Forest,Semi_open,Herbivore,Frugivore,Insessorial,-0.59,23.83,12.93,-84.94,902004.22,Forest,Sedentary,Irregular,Fruit,2,5,1,3,4,3.5,10.69356855,1300,LC
Piaya cayana,Piaya cayana,24,32,18.9,8.8,10.7,34.6,145.5,15.9,129.6,11,278.6,101.98,Forest,Dense,Carnivore,Invertivore,Insessorial,-36.22,12.46,-9.04,-58.15,13448425.2,Forest,Sedentary,Sedentary,Invertebrate,3,4,0.9208187539523752,2,2,2,4.086583672,3100,LC
Systellura longirostris,Systellura longirostris,8,18.8,7.4,4.9,2.5,16.4,154.9,74.3,79.1,48.5,117.3,45.6,Shrubland,Semi_open,Carnivore,Invertivore,Insessorial,-55.72,11.15,-30.98,-65.28,4156452.17,Non-forest,Sedentary,Migratory,Invertebrate,1,3,1.5228787452803376,1,2,1.5,3.718506467,4500,LC
Coeligena torquata,Coeligena torquata,31,39.2,33,2.3,2.1,5.1,74.1,47.6,29.2,61.9,46,6.72,Forest,Dense,Herbivore,Nectarivore,Aerial,-13.18,8.14,-0.77,-76.27,302874.56,Forest,Sedentary,Altitudinal,Nectar,2,2,1.3979400086720375,2,2,2,2.220364036,2200,LC
Ocreatus underwoodii,Ocreatus underwoodii,21,17.6,16.2,2,1.7,4.5,42.6,29.3,13.4,68.7,51.1,3,Forest,Dense,Herbivore,Nectarivore,Aerial,-17.74,11.28,-2.66,-74.11,385599.41,Forest,Sedentary,Altitudinal,Nectar,2,1,1.6989700043360187,2,2,2,1.735618508,2200,LC
Trogon collaris,Trogon collaris,19,20.3,11.2,8.2,9.1,13.4,121.2,46.3,74.2,38.4,132.7,65.43,Forest,Dense,Omnivore,Invertivore,Insessorial,-23.01,21.71,-2,-66.62,6799060.77,Forest,Sedentary,Altitudinal,Omnivore,2,3,1.2218487496163564,2,3,2.5,3.636894909,2600,LC
Trogon rufus,Trogon rufus,22,19.9,11.7,8.9,9.8,13.1,113.1,42.8,70.3,37.9,130.9,53.8,Forest,Dense,Omnivore,Omnivore,Insessorial,-29.64,16.03,-5.73,-61.12,6666233.02,Forest,Sedentary,Sedentary,Invertebrate,2,3,1.2218487496163564,2,2,2,3.682806091,1300,LC
Hypnelus ruficollis,Hypnelus ruficollis,5,31.6,23.6,10.4,12.3,18.5,88,19.2,68.3,22,84,49.8,Forest,Semi_open,Carnivore,Invertivore,Insessorial,4.61,12.46,9.2,-73.68,239856.99,Forest,Sedentary,Sedentary,Invertebrate,2,4,1.0969100130080565,3,3,3,3.395075867,1300,LC
Picumnus squamulatus,Picumnus squamulatus,5,11.2,9,3.9,4.5,13,51.2,9,42.5,17.5,29.6,10.2,Woodland,Semi_open,Carnivore,Invertivore,Insessorial,1.73,10.86,7.57,-69.52,437386.97,Forest,Sedentary,Sedentary,Invertebrate,1,4,1.3979400086720375,NA,NA,NA,2.340200539,2000,LC
Zimmerius chrysops,Zimmerius chrysops,85,9.2,5.5,3.8,3.3,17,52.8,6.4,43.3,13.1,45.7,10.4,Forest,Dense,Carnivore,Invertivore,Insessorial,-8.42,11.31,2.97,-75.13,387308.82,Forest,Sedentary,Sedentary,Invertebrate,2,3,1.2218487496163564,2,2,2,2.374861534,2400,LC
Elaenia pallatangae,Elaenia pallatangae,69,12.7,6.3,3.5,3.1,17.5,73.8,15.6,58.2,21.1,68.6,17.8,Forest,Semi_open,Omnivore,Invertivore,Insessorial,-17.49,5.01,-6.6,-75.32,281873.78,Forest,Long_distance,Sedentary,Invertebrate,2,3,1.2218487496163564,2,2,2,3.264821479,3050,LC
Tolmomyias flaviventris,Tolmomyias flaviventris,17,12.6,6.8,5.2,4,16.2,59.9,9.7,49.9,16.2,52.7,12.2,Forest,Dense,Carnivore,Invertivore,Insessorial,-23.97,12.46,-3.7,-54.82,6722663.2,Forest,Sedentary,Sedentary,Invertebrate,1,6,1.2218487496163564,2,3,2.5,2.534393376,1200,LC
Onychorhynchus coronatus,Onychorhynchus coronatus,13,22.1,13.8,7.4,4.5,15.8,73.9,15.7,58,21.2,59.7,14,Forest,Dense,Carnivore,Invertivore,Insessorial,-16.87,10.77,-3.27,-63.07,5973721.86,Forest,Partial,Sedentary,Invertebrate,1,4,1.3979400086720375,2,2,2,2.798035407,1500,LC
Pyrocephalus rubinus,Pyrocephalus rubinus,29,14.4,9.7,5.4,4,16.7,74.3,16.7,57.7,22.4,57.6,14.4,Woodland,Open,Carnivore,Invertivore,Insessorial,-41.16,39.48,-0.22,-79.92,8461953.41,Forest,Long_distance,Migratory,Invertebrate,1,6,1.2218487496163564,2,5,3.5,2.285797798,3350,LC
Ochthoeca cinnamomeiventris,Ochthoeca cinnamomeiventris,38,13.6,7.2,5.1,3.4,18.1,63.3,10.9,52.6,17.2,54.4,12,Shrubland,Dense,Carnivore,Invertivore,Insessorial,-5.41,7.84,3.14,-75.77,174511.37,Non-forest,Sedentary,Sedentary,Invertebrate,1,4,1.3979400086720375,1,2,1.5,2.224201419,2000,LC
Ochthoeca fumicolor,Ochthoeca fumicolor,20,15.3,8.3,3.9,3.6,23.9,82.7,15.7,67,19,74.7,16.6,Grassland,Semi_open,Carnivore,Invertivore,Insessorial,-17.54,7.66,-3.7,-74.81,246238.91,Non-forest,Sedentary,Sedentary,Invertebrate,1,4,1.3979400086720375,2,2,2,2.681181185,1700,LC
Sakesphorus canadensis,Sakesphorus canadensis,9,22.6,13.2,6,6.4,24.2,71.8,6.9,66.4,9.4,56.6,24.4,Woodland,Semi_open,Carnivore,Invertivore,Insessorial,-8.53,11.51,4.58,-64.65,1626726.49,Forest,Sedentary,Sedentary,Invertebrate,3,5,0.8239087409443188,2,3,2.5,2.953818121,1000,LC
Furnarius leucopus,Furnarius cinnamomeus,5,27.1,15.7,4,4.7,33.2,97.6,16.9,80.7,17.4,63.6,41.21,Shrubland,Semi_open,Carnivore,Invertivore,Terrestrial,-9.32,1.85,-3.68,-79.71,170281,Non-forest,Sedentary,Sedentary,Invertebrate,1,5,1.3010299956639813,2,2,2,3.256006351,2800,LC
Synallaxis albescens,Synallaxis albescens,36,13,8.1,3.1,3.7,19.2,54.4,7.4,47.5,13.8,76.7,11.2,Grassland,Semi_open,Carnivore,Invertivore,Insessorial,-38.54,12.46,-12.31,-55.82,9891841.77,Non-forest,Sedentary,Sedentary,Invertebrate,1,5,1.3010299956639813,2,4,3,2.222417714,2100,LC
Automolus ochrolaemus,Automolus ochrolaemus,47,22.7,15,4.8,6.4,23.5,87.1,15.1,72,17.4,74.8,40.2,Forest,Dense,Carnivore,Invertivore,Insessorial,-17.68,18.88,-2.68,-65.48,6428902.26,Forest,Sedentary,Sedentary,Invertebrate,2,4,1.0969100130080565,2,3,2.5,3.242881147,1750,LC
Dendrocolaptes certhia,Dendrocolaptes certhia,22,41,29.3,9.4,8,27.3,126.9,22.5,104.3,17.7,122.9,68.7,Forest,Dense,Carnivore,Invertivore,Insessorial,-17.71,9.62,-4.01,-62.55,6659679.41,Forest,Sedentary,Sedentary,Invertebrate,2,4,1.0969100130080565,1,1,1,4.3788537850000004,1500,LC
Formicarius analis,Formicarius analis,36,21.8,13.5,5.7,6,32.2,89.7,14.8,74.6,16.6,56.7,62.19,Forest,Dense,Carnivore,Invertivore,Terrestrial,-17.77,15.88,-3.44,-63.76,5715479.2,Forest,Sedentary,Sedentary,Invertebrate,4,2,1.0969100130080565,2,2,2,2.398737037,1900,LC
Grallaria quitensis,Grallaria quitensis,21,26,15.1,6.5,7.8,47.8,95.9,7.4,88.8,7.7,56,65.7,Shrubland,Semi_open,Carnivore,Invertivore,Terrestrial,-5.63,5.51,0.02,-77.7,74340.84,Non-forest,Sedentary,Sedentary,Invertebrate,2,4,1.0969100130080565,2,2,2,3.038074248,2700,LC
Scytalopus latrans,Scytalopus latrans,16,14.4,6.6,2.7,3.2,21.4,55.9,6.9,50.4,12.2,40.1,17.62,Forest,Dense,Carnivore,Invertivore,Terrestrial,-6.89,9.13,1.87,-76.3,216427.84,Forest,Sedentary,Sedentary,Invertebrate,1,4,1.3979400086720375,2,2,2,2.476558704,1800,LC
Turdus ignobilis,Turdus ignobilis,63,21.2,12.5,6.1,6.6,34.6,110.4,22,91.8,19.4,88.2,63.78,Forest,Semi_open,Omnivore,Omnivore,Insessorial,0.35,9.53,5.77,-73.13,272969.91,Forest,Sedentary,Sedentary,Omnivore,2,5,1,2,2,2,4.913922321,2700,LC
Ramphocaenus melanurus,Ramphocaenus melanurus,22,24.3,16.8,2.8,2.9,21.8,50.2,3.8,42.8,8.1,41.5,9.7,Forest,Semi_open,Carnivore,Invertivore,Insessorial,-27.6,21.55,-2.65,-63.46,9179813.29,Forest,Sedentary,Sedentary,Invertebrate,1,3,1.5228787452803376,2,2,2,2.519205671,2100,LC
Polioptila plumbea,Polioptila plumbea,40,12.2,8,2.9,2.5,17.6,46.7,5.4,38.4,12.3,44.4,6.4,Shrubland,Semi_open,Carnivore,Invertivore,Insessorial,-20.09,21.46,-1.37,-60.76,7562341.5,Non-forest,Sedentary,Sedentary,Invertebrate,1,5,1.3010299956639813,2,4,3,2.045127602,1700,LC
Arremon taciturnus,Arremon taciturnus,28,14.6,10,5.5,7.3,23.8,72,7.9,64.5,10.9,61.3,24.8,Forest,Dense,Herbivore,Omnivore,Insessorial,-20.18,8.74,-6.08,-55.32,6755484.62,Forest,Sedentary,Sedentary,Invertebrate,3,2,1.2218487496163564,2,3,2.5,2.534393376,1200,LC
Atlapetes schistaceus,Atlapetes schistaceus,16,14,8.5,5.1,6.3,24.8,75.7,9.5,66.5,12.5,83.9,28.04,Forest,Semi_open,Omnivore,Omnivore,Insessorial,-3.12,10.97,5.05,-74.48,143739.86,Forest,Sedentary,Sedentary,Omnivore,2,4,1.0969100130080565,NA,NA,NA,2.98908279,2000,LC
Geothlypis aequinoctialis,Geothlypis aequinoctialis,15,14.4,8.4,3.1,3.8,21.7,58.1,7.8,50.1,13.5,56.3,13.1,Shrubland,Open,Carnivore,Invertivore,Insessorial,-36.15,10.84,-15.68,-56.13,7376725.6,Non-forest,Sedentary,Sedentary,Invertebrate,1,4,1.3979400086720375,2,3,2.5,2.181803461,1600,LC
Basileuterus tristriatus,Basileuterus tristriatus,47,14.2,7.4,4.1,3.8,20.4,61,8.2,52.9,13.4,56.3,12.03,Forest,Dense,Carnivore,Invertivore,Insessorial,-18.11,12.34,-2.6,-74.13,475236.65,Forest,Sedentary,Sedentary,Invertebrate,1,2,1.6989700043360187,2,2,2,2.622139398,2300,LC
Chlorospingus flavopectus,Chlorospingus flavopectus,45,14.7,8.2,4.8,5.5,21.4,67.3,10.3,55.8,15.6,63.8,19.98,Forest,Dense,Carnivore,Invertivore,Insessorial,-26.89,21.61,1.43,-78.59,587009.94,Forest,Sedentary,Altitudinal,Fruit,2,2,1.3979400086720375,1,3,2,2.844110829,2500,LC
Sphenopsis melanotis,Sphenopsis ochracea,1,15.1,8,3.8,4.7,19.9,80,11,69,13.8,69.5,16,Forest,Dense,Omnivore,Omnivore,Insessorial,-2.92,1.08,-0.35,-78.73,1281.56,Forest,Sedentary,Sedentary,Invertebrate,2,3,1.2218487496163564,NA,NA,NA,2.534393376,1500,LC
Tangara mexicana,Tangara mexicana,9,13,7.3,4.3,5,16.4,70.2,16.2,53.7,23.2,49.6,20.5,Forest,Semi_open,Omnivore,Omnivore,Insessorial,-18,10.84,-4.67,-62.36,7040026.36,Forest,Sedentary,Sedentary,Fruit,2,4,1.0969100130080565,2,3,2.5,3.07896119,1100,LC
Sporophila crassirostris,Sporophila crassirostris,13,15.4,10.2,8.3,11.5,18.6,66.9,10.9,56.1,16.2,59.6,20.9,Shrubland,Semi_open,Herbivore,Granivore,Insessorial,-10.05,11.28,2.29,-66.83,2533030.55,Non-forest,Partial,Sedentary,Seed,2,5,1,2,3,2.5,2.322979312,1400,LC
Saltator coerulescens,Saltator coerulescens,17,22.3,13.9,8.8,11,26.8,100.7,14.6,86.2,14.5,95.5,54.9,Human Modified,Semi_open,Herbivore,Omnivore,Insessorial,-35.64,2.03,-12.12,-59.52,8191352.17,Non-forest,Sedentary,Sedentary,Omnivore,5,3,0.8239087409443188,2,3,2.5,2.534393376,1900,LC
Sturnella magna,Sturnella magna,13,33.5,20,6.1,8.2,39.8,108.1,28.4,86.1,24.8,67.4,91.76,Grassland,Open,Carnivore,Invertivore,Terrestrial,-2.91,50.71,30.39,-84.52,7031582.36,Non-forest,Partial,Migratory,Invertebrate,2,4,1.0969100130080565,2,7,4.5,2.6782694,3800,NT
Bubulcus ibis,Bubulcus ibis,14,63.3,43.5,8.6,11.5,76.8,244.4,73,171.2,29.9,90.9,365.95,Human Modified,Open,Carnivore,Omnivore,Terrestrial,-55.98,58.29,5.1,-2.69,62451101.72,Non-forest,Partial,Migratory,Invertebrate,3,8,0.619788758288394,1,9,5,6.069601865,4380,LC
Accipiter bicolor,Accipiter bicolor,11,25,13.7,8.6,12.7,58.1,229.6,56.6,174.8,24.6,186.3,287.54,Woodland,Semi_open,Carnivore,Vertivore,Generalist,-55.72,23.73,-10.1,-59.96,14309701.27,Forest,Partial,Sedentary,Vertebrate,2,3,1.2218487496163564,1,4,2.5,4.850855163,2800,LC
Phaeomyias murina,Phaeomyias murina,30,11.1,6.3,4,3.2,18.7,55,8.5,46.2,15.4,51.2,10,Shrubland,Semi_open,Omnivore,Invertivore,Insessorial,-30.37,12.46,-8,-57.04,10817801.09,Non-forest,Sedentary,Altitudinal,Invertebrate,3,5,0.8239087409443188,2,2,2,2.534393376,2500,LC
Myiodynastes chrysocephalus,Myiodynastes hemichrysus,4,24.8,16.5,10.1,7.1,18.5,99.5,17.9,81.6,18,82.1,43.4,Forest,Dense,Omnivore,Omnivore,Insessorial,-5.76,11.19,4.32,-75.23,319266.74,Forest,Sedentary,Irregular,Omnivore,2,3,1.2218487496163564,3,3,3,3.075494434,2800,LC
Xenops minutus,Xenops genibarbis,60,14.3,10,3.3,4.5,14.8,62.4,14,48.8,22.3,49.3,10.6,Forest,Dense,Carnivore,Invertivore,Insessorial,-17.35,21.12,-1.95,-63.76,8775191.63,Forest,Sedentary,Sedentary,Invertebrate,1,1,2,2,2,2,1.843044685,1900,LC
Troglodytes aedon,Troglodytes aedon,104,15.9,9.8,3,3.1,20.1,51.4,6.7,44.9,12.9,41.1,10.85,Shrubland,Open,Carnivore,Invertivore,Insessorial,-55.72,59.66,4.96,-75.18,25653883.47,Non-forest,Sedentary,Sedentary,Invertebrate,1,7,1.1549019599857433,2,6,4,2.13714676,3600,LC
Cyphorhinus thoracicus,Cyphorhinus thoracicus,4,27.1,14.7,4.1,5.8,27.6,66.6,6.5,60.1,9.8,47.9,31.28,Forest,Dense,Carnivore,Invertivore,Terrestrial,-15.03,-9.19,-12.23,-72.9,58720.02,Forest,Sedentary,Sedentary,Invertebrate,1,1,2,NA,NA,NA,2.398737037,2200,LC
Basileuterus rufifrons,Basileuterus rufifrons,34,12.3,7.6,4.1,4,20.7,54.5,6.1,45.6,11.8,58,10.4,Shrubland,Semi_open,Carnivore,Invertivore,Insessorial,1.82,30.95,17.84,-94.81,967644.87,Non-forest,Sedentary,Sedentary,Invertebrate,2,1,1.6989700043360187,3,4,3.5,2.425777583,2600,LC
Molothrus aeneus,Molothrus aeneus,10,22.2,14.7,6.1,9.7,29.1,108,27.1,80.4,25.3,77,62.61,Forest,Semi_open,Omnivore,Granivore,Terrestrial,7.2,35.86,23.63,-99.9,2518193.73,Forest,Sedentary,Sedentary,Omnivore,2,4,1.0969100130080565,NA,1,1,2.459147624,2300,LC
Contopus cinereus,Contopus bogotensis,11,15.9,9.3,6.5,3.7,13.8,70.8,20.2,51,28.3,58.8,11.6,Forest,Semi_open,Carnivore,Invertivore,Insessorial,-1.85,21.61,9.71,-73.49,1610570.93,Forest,Partial,Sedentary,Invertebrate,1,6,1.2218487496163564,2,3,2.5,2.397067018,1400,LC
Formicivora grisea,Formicivora intermedia,27,16.3,9.4,3.7,3.6,21.2,52.5,3,49,5.9,48.9,9.8,Shrubland,Semi_open,Carnivore,Invertivore,Insessorial,2.03,12.46,8.52,-69.44,779878.05,Non-forest,Sedentary,Sedentary,Invertebrate,1,4,1.3979400086720375,2,2,2,4.433845767,1700,LC
Tringa solitaria,Tringa solitaria,5,32.7,25.4,2.7,3.9,29.6,126.6,63.9,64.6,49.7,53.9,48.4,Wetland,Open,Carnivore,Aquatic predator,Terrestrial,45.12,69.43,57.78,-113.4,5546518.4,Non-forest,Long_distance,Migratory,Invertebrate,1,6,1.2218487496163564,4,4,4,3.038332371,3500,LC
Icterus galbula,Icterus galbula,23,21.1,13.3,5,6.4,23.4,92.1,25.5,67.4,27.4,73.3,32.83,Forest,Dense,Omnivore,Invertivore,Insessorial,30.82,58.5,43.69,-91.8,4604558.64,Forest,Long_distance,Migratory,Invertebrate,3,5,0.8239087409443188,3,7,5,2.680863532,2000,LC
Setophaga fusca,Setophaga fusca,44,12.3,8,3.5,3.5,17.6,65.7,21.9,45.6,32.4,47.2,9.74,Forest,Dense,Carnivore,Invertivore,Insessorial,34.72,54.24,47.11,-82.52,2026720.02,Forest,Long_distance,Migratory,Invertebrate,2,3,1.2218487496163564,3,5,4,2.237287672,2900,LC
Setophaga ruticilla,Setophaga ruticilla,35,12.3,6.8,4,3,17,62,15.6,48,24.6,52.6,8.24,Forest,Dense,Carnivore,Invertivore,Insessorial,30.05,65.02,47.72,-98.09,6675504.95,Forest,Long_distance,Migratory,Invertebrate,2,3,1.2218487496163564,1,5,3,2.290661573,3000,LC
Tyrannus dominicensis,Tyrannus dominicensis,9,30.6,21.6,11.5,8.8,18.5,116.6,35.2,81.6,30.1,89,46.5,Forest,Open,Carnivore,Omnivore,Insessorial,7.55,30.92,17.44,-73.02,575526.35,Forest,Partial,Sedentary,Invertebrate,3,7,0.6777807052660807,2,5,3.5,2.892699702,3000,LC
Myiarchus crinitus,Myiarchus crinitus,18,22.7,15.5,8.5,6.9,21.8,98.8,21.6,79.4,21.4,88.1,32.1,Woodland,Dense,Omnivore,Invertivore,Insessorial,8.61,55.55,40.77,-88.84,5137539.15,Forest,Long_distance,Migratory,Invertebrate,2,6,0.9208187539523752,4,8,6,3.336289418,2700,LC
Leiothlypis peregrina,Leiothlypis peregrina,60,10.9,7.8,3.1,3.2,18.3,62.5,16.6,47.6,25.9,42.1,8.9,Forest,Dense,Carnivore,Invertivore,Insessorial,43.39,67.44,54.36,-100.86,4777801.14,Forest,Long_distance,Migratory,Invertebrate,3,4,0.9208187539523752,3,8,5.5,1.862894145,2700,LC
Tyrannus tyrannus,Tyrannus tyrannus,10,21.5,14.8,8.2,6.5,18.5,116.7,38.6,77.2,33.3,87.6,39.85,Woodland,Semi_open,Carnivore,Invertivore,Insessorial,24.95,65.28,45.77,-98.88,9124093.16,Forest,Long_distance,Migratory,Invertebrate,2,5,1,2,5,3.5,2.586855542,3200,LC
Piranga rubra,Piranga rubra,57,19.2,13.3,8.4,9,19.5,92,27.9,67.4,29.2,71.3,29.13,Forest,Dense,Carnivore,Invertivore,Insessorial,24.5,42.5,33.47,-93.77,3269576.69,Forest,Long_distance,Migratory,Invertebrate,2,4,1.0969100130080565,3,4,3.5,2.529418312,3200,LC
Coccyzus americanus,Coccyzus americanus,12,29.2,20,7,8.2,24.5,143.4,62.4,82.6,43,146.3,64,Forest,Dense,Carnivore,Invertivore,Insessorial,-14.02,48.99,36.04,-90.96,5270361.03,Forest,Long_distance,Migratory,Invertebrate,3,4,0.9208187539523752,1,5,3,2.532871766,3500,LC
Catharus ustulatus,Catharus ustulatus,31,16.6,9.5,4.4,4.1,29.6,96.8,29.7,67.2,30.6,67.1,30.3,Forest,Dense,Omnivore,Invertivore,Insessorial,32.94,59.64,49.34,-125.97,489246.29,Forest,Long_distance,Migratory,Invertebrate,2,3,1.2218487496163564,1,5,3,2.471010853,3000,LC
Setophaga striata,Setophaga striata,10,13.9,8.7,3.6,3.4,19.5,74.3,23.2,51.1,31.3,50.4,11.84,Forest,Dense,Carnivore,Invertivore,Insessorial,41.42,68.98,58.99,-110.59,6353206.91,Forest,Long_distance,Migratory,Invertebrate,3,2,1.2218487496163564,2,5,3.5,2.083837971,2600,NT
Piranga olivacea,Piranga olivacea,21,18.8,11.5,7.2,8.2,19.4,92.6,29.5,65.9,30.9,63.8,28.2,Forest,Dense,Carnivore,Invertivore,Insessorial,32.41,53.03,41.72,-85.13,2605301.09,Forest,Long_distance,Migratory,Invertebrate,2,3,1.2218487496163564,3,5,4,2.390336661,3200,LC
Sturnella militaris,Leistes militaris,12,20.2,12.8,5.5,7.4,29.2,88.2,16.6,71.7,18.8,57.4,48.01,Grassland,Open,Carnivore,Invertivore,Terrestrial,-14.42,12.46,0.12,-63.52,3688152.76,Non-forest,Partial,Irregular,Invertebrate,2,4,1.0969100130080565,2,4,3,3.397218526,2100,LC
Mniotilta varia,Mniotilta varia,20,13.7,9,2.9,3.3,17.3,68.8,17,49.7,25.5,46.6,10.9,Forest,Dense,Carnivore,Invertivore,Insessorial,30.21,65.04,48.07,-92.35,5385503.08,Forest,Long_distance,Migratory,Invertebrate,1,2,1.6989700043360187,4,5,4.5,2.592005464,2700,LC
Tiaris obscurus,Asemospiza obscura,11,10.4,5.4,4.8,5.8,17.3,52.4,7.9,46,14.7,42.3,11.2,Shrubland,Semi_open,Herbivore,Granivore,Terrestrial,-25.74,11.69,-6.35,-72.97,1000344.6,Non-forest,Partial,Altitudinal,Seed,1,3,1.5228787452803376,3,4,3.5,1.914724724,1700,LC
Hirundo rustica,Hirundo rustica,68,12.4,6,4.5,2.7,11.7,115.8,62.3,56,52.6,71.4,17.91,Human Modified,Open,Carnivore,Invertivore,Aerial,-37.53,71.13,47.56,34.57,51701054.06,Non-forest,Long_distance,Migratory,Invertebrate,1,6,1.2218487496163564,2,7,4.5,3.132150175,3400,LC
