Species_ayerbe,Species_bl,Total.individuals,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Forest_bin,Migration_avo,Migration_bb,Primary_diet,Diet_breadth,Habitat_breadth,Ecological_specialization,Clutch_min,Clutch_max,Clutch_mean,Gen_length,Elev_range,Iucn_red_list
Claravis pretiosa,Claravis pretiosa,13,16.6,9.8,3.2,3.6,16.3,110.8,29.5,81.4,26.7,76.1,68.2,Forest,Dense,Herbivore,Granivore,Generalist,-28.02,23.8,-6.4,-59.59,12977823.95,Forest,Partial,Sedentary,Seed,2,3,1.2218487496163564,2,2,2,3.569853922,1900,LC
Inezia caudata,Inezia caudata,5,10,6.4,3.6,3.1,16.8,48.5,5.1,43.4,10.5,49.5,7.5,Forest,Dense,Carnivore,Invertivore,Insessorial,3.01,12.46,8.35,-65.62,597282.08,Forest,Sedentary,Sedentary,Invertebrate,1,5,1.3010299956639813,NA,NA,NA,2.203048422,600,LC
Tachycineta albiventer,Tachycineta albiventer,8,12.7,6.4,5,3,11,100.7,51.4,49.3,50.9,45.2,17.7,Riverine,Open,Carnivore,Invertivore,Aerial,-30.16,12.46,-7.55,-57.42,11742614.01,Forest,Sedentary,Sedentary,Invertebrate,1,4,1.3979400086720375,3,6,4.5,2.312072416,1100,LC
Thamnophilus melanonotus,Thamnophilus melanonotus,6,21,12.3,5,6.6,24.8,75.9,6.6,69.8,8.7,62.8,25.5,Woodland,Dense,Carnivore,Invertivore,Insessorial,7.29,12.46,10.53,-72.1,113947.78,Forest,Sedentary,Sedentary,Invertebrate,1,3,1.5228787452803376,2,2,2,3.530090377,1100,LC
Coccycua minuta,Coccycua minuta,10,23.5,14.2,5.4,6.5,24.7,105.9,15.4,90,14.6,147.9,39.3,Forest,Dense,Carnivore,Invertivore,Insessorial,-20.89,11.98,-4.4,-62.28,8754206.58,Forest,Sedentary,Sedentary,Invertebrate,1,5,1.3010299956639813,2,2,2,3.502935475,1600,LC
Thamnophilus atrinucha,Thamnophilus atrinucha,59,19.4,12.8,5.4,6.4,21.8,67.9,6.4,62.1,9.2,56.1,23.6,Forest,Dense,Carnivore,Invertivore,Insessorial,-4.09,16.62,8.29,-78.19,583507.07,Forest,Sedentary,Sedentary,Invertebrate,2,2,1.3979400086720375,2,2,2,3.483386576,1600,LC
Sarcoramphus papa,Sarcoramphus papa,6,61.9,46,22.8,30.6,89.9,508.2,191.6,317.6,37.6,239,3400,Forest,Open,Scavenger,Scavenger,Terrestrial,-34.91,21.62,-8.32,-59.62,14260256.21,Forest,Sedentary,Sedentary,Scavenger,1,4,1.3979400086720375,1,2,1.5,12.44872218,1600,LC
Euphonia trinitatis,Euphonia trinitatis,11,9.9,5.4,4,3.9,13.8,54.4,13,41.7,23.8,31.9,11,Woodland,Semi_open,Herbivore,Frugivore,Insessorial,4.67,12.2,8.74,-67.57,610172.65,Forest,Sedentary,Sedentary,Fruit,2,5,1,3,4,3.5,2.38293539,1200,LC
Phaethornis anthophilus,Phaethornis anthophilus,10,36.4,31,2.3,2.3,4.7,57.2,33.9,23.3,59.3,62.9,5.9,Forest,Dense,Herbivore,Nectarivore,Aerial,1.76,12.49,8.58,-72.23,413680.8,Forest,Sedentary,Sedentary,Nectar,2,4,1.0969100130080565,2,2,2,2.158681777,1800,LC
Ara macao,Ara macao,12,67.2,64.1,31.8,63.5,31.6,393.7,127.5,263.7,32.7,554.5,1015,Forest,Semi_open,Herbivore,Omnivore,Insessorial,-18.13,17.43,-2.86,-63.9,6755480.57,Forest,Sedentary,Irregular,Seed,4,4,0.7958800173440752,1,4,2.5,11.36521811,1600,LC
Chrysolampis mosquitus,Chrysolampis mosquitus,15,20.3,13.4,1.8,1.7,3.6,53.9,36.5,17.1,68,32,3.9,Forest,Semi_open,Herbivore,Nectarivore,Aerial,-23.41,12.6,-6.06,-53.18,7397775.67,Forest,Long_distance,Migratory,Nectar,2,4,1.0969100130080565,2,2,2,1.838620899,1800,LC
Oncostoma olivaceum,Oncostoma olivaceum,5,14.1,7.3,4.1,3.6,15.5,45,6,39.8,13,32.6,6.6,Forest,Dense,Carnivore,Invertivore,Insessorial,5.28,11.36,8.38,-75.43,226322.4,Forest,Sedentary,Sedentary,Invertebrate,2,3,1.2218487496163564,2,2,2,2.340156216,1800,LC
Chalybura buffonii,Chalybura buffonii,28,26.7,20.8,2.5,2.6,4.4,63.9,43.2,22.3,66,40.7,6.79,Forest,Dense,Herbivore,Nectarivore,Aerial,1.46,12.46,8.2,-73.48,503108.33,Forest,Sedentary,Sedentary,Nectar,2,2,1.3979400086720375,2,2,2,2.162358742,2100,LC
Henicorhina leucophrys,Henicorhina leucophrys,80,16.8,9.9,3.2,3.4,24.1,53.6,4.5,48.5,8.5,29.8,16.19,Forest,Dense,Carnivore,Invertivore,Generalist,-18.01,22.37,4.49,-81.05,722586.81,Forest,Sedentary,Altitudinal,Invertebrate,1,5,1.3010299956639813,2,2,2,2.876530371,4300,LC
Attila spadiceus,Attila spadiceus,27,22.3,15.8,7.3,6.5,24.9,85.6,12.3,70.9,14.8,67.8,39.1,Forest,Dense,Carnivore,Invertivore,Insessorial,-23.01,27.05,-1.44,-65.43,8099963.72,Forest,Sedentary,Sedentary,Invertebrate,4,5,0.6989700043360189,2,4,3,3.261619489,2100,LC
Tityra semifasciata,Tityra semifasciata,28,28,18.2,10.4,10.7,25.6,120.5,30.7,93.4,24.8,71.7,79.3,Forest,Dense,Herbivore,Frugivore,Insessorial,-26.55,27.43,-4.18,-66.82,6821138.58,Forest,Sedentary,Sedentary,Fruit,3,4,0.9208187539523752,2,3,2.5,3.699468111,2600,LC
